sent_l;frq;clause_mean_l
1;3;3.33
2;21;2.6
3;27;2.69
4;38;2.66
5;41;2.58
6;37;2.54
7;39;2.69
8;33;2.56
9;37;2.75
10;17;2.56
11;15;2.47
12;17;2.5
13;3;2.92
14;10;2.52
15;6;2.57
16;2;2.28
17;4;3.0
18;4;2.32
19;3;2.75
20;4;2.45
21;2;3.21
22;4;2.66
24;1;2.67
30;1;2.27
31;2;3.1
32;1;2.88
