sent_l;frq;clause_mean_l
1;5;4.0
2;10;2.45
3;13;2.85
4;16;2.59
5;24;2.61
6;30;2.86
7;25;2.61
8;21;2.72
9;15;2.52
10;16;2.58
11;16;2.96
12;10;2.86
13;4;2.75
14;9;2.82
15;6;2.58
16;2;2.88
17;2;2.74
18;4;2.78
19;1;2.79
20;3;2.48
21;2;2.81
22;2;2.09
24;1;2.54
27;2;2.59
32;1;2.88
