sent_l;frq;clause_mean_l
2;3;2.67
3;11;2.67
4;13;2.79
5;14;2.46
6;12;2.54
7;16;2.7
8;8;2.34
9;7;2.56
10;7;2.67
11;5;2.96
12;5;2.67
13;4;2.63
14;5;2.3
15;2;2.4
16;1;2.88
17;2;2.82
18;1;2.72
19;1;2.53
20;1;2.45
21;1;3.0
26;3;2.13
27;1;2.67
28;1;2.5
34;3;2.12
