sent_l;frq;clause_mean_l
1;13;3.38
2;86;2.78
3;149;2.73
4;193;2.69
5;203;2.64
6;206;2.68
7;188;2.7
8;155;2.6
9;122;2.72
10;97;2.6
11;79;2.73
12;68;2.69
13;33;2.72
14;58;2.68
15;35;2.63
16;16;2.63
17;22;2.78
18;14;2.52
19;17;2.85
20;12;2.63
21;12;2.85
22;9;2.59
23;5;2.73
24;5;2.73
25;1;2.52
26;5;2.33
27;5;2.7
28;1;2.5
29;1;2.38
30;2;2.35
31;3;3.15
32;3;2.85
33;2;2.67
34;3;2.12
