sent_l;frq;clause_mean_l
2;1;3.5
3;3;2.22
4;2;2.88
5;3;2.73
6;8;2.81
7;6;2.71
8;3;2.42
9;2;2.89
11;3;2.85
12;2;3.08
13;1;2.38
14;2;2.54
15;1;2.8
16;2;2.62
21;1;2.76
22;1;3.05
33;1;2.91
