clause_l;frq;phrase_mean_l
1;618;1.52
2;1349;1.6
3;1330;1.61
4;827;1.62
5;322;1.62
6;100;1.75
7;20;1.7
8;3;1.58
9;2;2.06
10;1;3.6
17;1;1.06
25;1;1.52
