sent_l;frq;clause_mean_l
1;45;2.53
2;62;2.84
3;25;2.6
4;13;2.52
5;7;2.17
6;3;2.56
7;2;2.21
8;3;2.46
9;1;2.22
10;1;1.9
11;1;2.91
15;1;1.93
