sent_l;frq;clause_mean_l
1;37;3.78
2;43;2.93
3;27;2.72
4;17;2.68
5;14;3.27
6;6;2.92
7;3;3.0
8;3;3.54
9;2;2.22
10;1;2.9
12;1;3.42
