construct;frq;mean of constituent
1;259;1.92
2;69;2.1
3;30;2.31
4;26;2.21
5;17;2.35
6;21;2.13
7.25;12;2.16
9.5;12;2.15
12.9;10;2.07
19.27;11;2.19
42.64;11;2.15
