construct;frq;mean of constituent
1;442;1.95
2;145;1.94
3;77;2.22
4;47;2.13
5;35;2.01
6;23;2.05
7;17;2.1
8;14;1.98
9.58;19;2.21
12.0;13;1.93
14.73;11;2.16
18.0;12;2.16
22.91;11;1.89
43.0;14;2.16
