construct;frq;mean of constituent
1;399;2.2
2;130;2.23
3;52;2.32
4;39;2.5
5;43;2.36
6;31;2.35
7;20;2.24
8;15;2.35
9.64;14;2.55
12.45;11;2.24
16.0;11;2.4
22.8;10;2.42
