construct;frq;mean of constituent
1;202;1.97
2;59;1.99
3;24;2.04
4;19;2.18
5;19;2.28
6.64;22;2.09
8.4;15;2.22
10.2;10;2.23
14.1;10;2.32
24.62;13;2.28
