construct;frq;mean of constituent
1;307;2.04
2;75;2.28
3;36;2.19
4;38;2.16
5;25;2.23
6;16;2.17
7;20;2.16
8;13;2.29
9.61;18;2.23
12.07;14;2.29
15.6;10;2.41
29.42;12;2.27
