sent_l;frq;phrase_mean_l
1;49;8.47
2;167;4.74
3;327;4.06
4;339;3.69
5;238;3.49
6;103;3.35
7;38;3.43
8;14;3.74
9;3;3.22
10;1;4.3
11;1;4.09
