construct;frq;mean of constituent
1;15;3.13
2;79;2.68
3;104;2.58
4;94;2.47
5;79;2.37
6;52;2.29
7;39;2.41
8;30;2.44
9;12;2.38
10;10;2.3
12.33;24;2.35
