construct;frq;mean of constituent
1;16;2.44
2;18;2.33
3;46;2.3
4;35;2.21
5;38;2.25
6;42;2.25
7;20;2.07
8;12;2.01
9;18;2.05
10.8;10;2.12
17.4;20;2.13
