construct;frq;mean of constituent
1;17;2.29
2;26;2.48
3;44;2.08
4;48;2.17
5;47;2.32
6;43;2.27
7;37;2.2
8;19;2.13
9;15;2.13
10;10;2.27
12.36;11;2.09
18.81;16;2.07
