construct;frq;mean of constituent
1;11;3.09
2;34;2.41
3;65;2.32
4;60;2.25
5;72;2.23
6;56;2.26
7;48;2.19
8;35;2.34
9;22;2.24
10;11;2.28
11;13;2.17
12.46;13;2.08
15.0;11;2.22
25.5;12;2.3
