sent_l;frq;clause_mean_l
1;291;3.22
2;873;2.55
3;1423;2.42
4;1570;2.35
5;1577;2.3
6;1354;2.32
7;1039;2.31
8;730;2.31
9;532;2.35
10;347;2.33
11;256;2.39
12;191;2.39
13;136;2.35
14;113;2.45
15;76;2.41
16;48;2.36
17;54;2.44
18;38;2.37
19;31;2.57
20;25;2.37
21;21;2.65
22;17;2.45
23;13;2.34
24;12;2.41
25;3;2.01
26;5;2.31
27;7;2.42
28;5;2.48
29;4;2.47
30;2;2.35
31;4;2.85
32;7;2.49
33;2;2.67
34;2;2.37
35;1;1.54
37;2;2.36
38;1;2.61
39;1;1.97
40;1;1.7
59;2;2.19
