construct;frq;mean of constituent
1.67;24;2.79
3;37;2.23
4;25;2.16
5;46;2.15
6;37;2.16
7;41;2.07
8;30;2.06
9;18;2.08
10;12;2.07
11.54;13;2.15
14.65;20;2.1
