construct;frq;mean of constituent
1;13;3.62
2;22;2.55
3;32;2.32
4;34;2.32
5;40;2.42
6;42;2.46
7;23;2.37
8;25;2.34
9;21;2.24
10;14;2.27
11.64;14;2.25
18.39;18;2.35
