construct;frq;mean of constituent
1;11;3.0
2;23;2.5
3;36;2.36
4;46;2.28
5;57;2.31
6;22;2.14
7;30;2.22
8;25;2.23
9;14;2.37
10.57;14;2.21
15.73;15;2.17
