construct;frq;mean of constituent
1.82;28;2.64
3;37;2.23
4;48;2.14
5;53;2.18
6;63;2.25
7;35;2.13
8;24;2.2
9;23;2.17
10;16;2.21
11.64;14;2.19
14.25;12;2.19
