constr_l;frq;mean_constit_l
1;610;3.39
2;755;3.06
3;755;2.85
4;542;2.83
5;392;2.9
6;281;2.95
7;162;3.0
8;125;2.87
9;66;2.94
10;57;2.91
11;39;2.85
12;25;2.75
13;20;2.68
14;15;2.54
15;15;2.64
16;12;2.54
17;7;2.71
18;2;2.58
19;2;3.42
20;4;2.19
21;5;2.87
23;5;2.2
24;3;2.21
25;1;2.6
30;1;1.47
42;1;2.17
50;1;1.42
