sent_l;frq;clause_mean_l
1;726;8.38
2;784;6.68
3;456;6.42
4;260;6.23
5;116;6.0
6;64;5.71
7;22;5.84
8;14;6.51
9;7;6.14
10;3;5.53
11;5;6.13
12;1;8.33
