constr_l;frq;mean_constit_l
1;80;3.05
2;89;2.88
3;88;2.83
4;76;2.86
5;46;2.83
6;19;2.89
7;8;3.07
8;3;2.54
9;3;3.04
11;1;2.45
12;1;2.83
