constr_l;frq;mean_constit_l
1;77;3.06
2;96;2.9
3;78;2.74
4;50;2.94
5;32;2.78
6;17;2.92
7;7;2.88
8;2;3.19
9;2;3.33
10;2;3.25
11;2;2.82
