phrase_l;frq;word_mean_l
1;303;1.84
2;50;2.41
3;30;2.61
4;16;2.38
5;6;2.4
6;6;1.94
7;4;2.29
8;1;2.62
9;1;2.0
10;1;1.5
11;3;2.24
12;1;2.17
15;1;2.47
20;1;2.95
21;1;2.43
