constr_l;frq;mean_constit_l
1;63;5.16
2;73;4.32
3;88;3.86
4;80;3.54
5;66;3.52
6;63;3.44
7;43;3.43
8;34;3.23
9;25;3.14
10;17;3.22
11;16;3.1
12;8;3.17
13;5;2.66
14;6;2.38
15;3;2.89
16;4;2.42
17;4;2.56
19;1;2.84
20;1;2.05
23;3;2.29
24;1;3.21
