constr_l;frq;mean_constit_l
1;10;4.8
2;14;4.82
3;13;3.9
4;10;3.6
5;18;3.22
6;12;3.58
7;4;3.39
8;6;2.56
9;2;2.72
10;1;3.5
11;3;2.97
13;1;3.62
