constr_l;frq;mean_constit_l
1;6;6.33
2;12;5.21
3;13;4.03
4;15;4.22
5;10;3.64
6;11;3.15
7;9;3.57
8;1;3.62
9;5;3.07
10;1;3.4
11;1;2.36
12;1;4.92
13;1;3.0
