phrase_l;frq;word_mean_l
1;414;1.99
2;105;2.88
3;60;2.84
4;37;2.64
5;31;2.9
6;13;2.58
7;15;2.79
8;11;2.8
9;10;3.17
10;5;3.04
11;7;2.78
12;2;1.96
13;2;2.96
14;3;2.57
15;3;2.36
16;1;3.06
18;2;2.67
19;1;2.37
