phrase_l;frq;word_mean_l
1;562;1.92
2;128;2.76
3;82;3.05
4;33;2.9
5;15;2.51
6;17;2.76
7;12;2.42
8;6;3.15
9;5;2.62
10;5;2.58
12;5;2.67
16;1;3.62
18;2;2.81
