phrase_l;frq;word_mean_l
1;252;1.97
2;63;2.43
3;27;2.75
4;20;2.54
5;18;2.74
6;10;2.55
7;8;2.52
8;6;2.88
9;3;2.22
10;3;2.43
11;3;3.33
12;4;2.44
13;1;2.54
14;2;2.71
16;1;3.0
17;4;2.44
