phrase_l;frq;word_mean_l
1;147;1.98
2;29;2.95
3;27;2.95
4;18;2.67
5;15;3.32
6;6;2.94
7;4;2.64
8;3;3.08
9;3;3.04
10;1;2.6
11;1;2.73
12;3;2.72
14;1;3.29
15;1;2.13
17;2;2.94
19;1;2.53
20;1;2.95
25;1;3.04
