phrase_l;frq;word_mean_l
1;70;1.83
2;28;2.48
3;8;2.46
4;9;2.78
5;5;2.36
6;3;3.0
7;3;2.52
10;1;2.7
11;3;2.52
12;2;2.5
15;1;2.47
16;1;2.81
19;1;2.47
