1;3580;2.96
2;4163;2.87
3;3450;2.82
4;2171;2.82
5;1229;2.83
6;644;2.85
7;292;2.83
8;152;2.85
9;75;2.89
10;35;2.9
11;18;2.9
14.5;16;2.91
