phrase_l;frq;word_mean_l
1;165;1.83
2;68;2.14
3;39;2.08
4;14;2.02
5;13;2.51
6;16;2.25
7;13;2.32
8;8;2.27
9;7;2.43
10;10;2.2
11;8;2.28
12;5;2.42
13;4;2.35
15;1;2.47
19;3;2.33
20;2;2.15
21;1;2.0
23;1;2.22
27;1;2.19
