phrase_l;frq;word_mean_l
1;224;1.89
2;82;2.1
3;30;2.24
4;26;2.19
5;25;2.07
6;19;2.16
7;9;2.17
8;11;2.23
9;7;2.02
10;7;2.09
11;5;2.24
12;10;2.18
13;3;2.23
14;5;2.09
15;4;2.15
16;2;2.25
18;2;2.28
19;3;2.05
20;3;2.27
22;3;2.18
23;1;2.09
24;1;2.17
25;2;2.5
29;1;2.24
46;1;2.22
66;1;2.36
